Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,JD Notae,36,35,1193,233,589,0.396,159,340,0.468,74,249,0.297,120,155,0.774,20,144,164,134,81,25,104,94,660
2,Stanley Umude,37,25,1028,162,352,0.46,109,209,0.522,53,143,0.371,63,87,0.724,41,130,171,41,37,30,58,84,440
3,Jaylin Williams,37,35,1171,142,308,0.461,125,237,0.527,17,71,0.239,102,140,0.729,56,308,364,95,48,41,67,98,403
4,Au'Diese Toney,36,33,1167,125,240,0.521,116,209,0.555,9,31,0.29,118,151,0.781,82,106,188,28,22,19,45,75,377
5,Davonte Davis,37,14,1023,114,266,0.429,94,192,0.49,20,74,0.27,58,82,0.707,42,95,137,102,35,0,67,95,306
6,Chris Lykes,37,2,641,73,212,0.344,48,123,0.39,25,89,0.281,112,128,0.875,7,30,37,56,33,1,38,65,283
7,Trey Wade,37,24,632,53,108,0.491,40,75,0.533,13,33,0.394,16,20,0.8,39,57,96,24,10,14,21,37,135
8,Kamani Johnson,26,1,205,18,29,0.621,18,29,0.621,0,0,0,23,43,0.535,34,35,69,7,6,10,16,37,59
9,Connor Vanover,15,10,113,22,51,0.431,21,38,0.553,1,13,0.077,14,17,0.824,12,19,31,4,2,9,3,4,59
10,Jaxson Robinson,16,4,163,19,50,0.38,5,7,0.714,14,43,0.326,3,3,1,5,15,20,7,1,4,6,11,55
11,Khalen Robinson,19,2,96,9,28,0.321,3,11,0.273,6,17,0.353,4,7,0.571,2,6,8,13,6,0,11,22,28
12,Chance Moore,5,0,8,2,4,0.5,1,2,0.5,1,2,0.5,0,0,0,1,2,3,0,0,0,0,2,5
13,Cade Arbogast,4,0,4,0,4,0,0,2,0,0,2,0,0,0,0,2,1,3,1,0,0,0,0,0
14,Lawson Blake,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,School Totals,37,0,7450,972,2241,0.434,739,1474,0.501,233,767,0.304,633,833,0.76,399,1000,1399,512,281,153,452,624,2810
