Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Moses Moody,32,32,1082,165,386,0.427,107,224,0.478,58,162,0.358,151,186,0.812,64,120,184,51,33,21,52,74,539
2,JD Notae,32,1,722,131,343,0.382,75,176,0.426,56,167,0.335,92,121,0.76,16,84,100,61,46,11,66,47,410
3,Justin Smith,28,28,896,159,292,0.545,154,269,0.572,5,23,0.217,58,92,0.63,92,111,203,49,34,18,51,62,381
4,Jalen Tate,32,32,943,132,272,0.485,106,196,0.541,26,76,0.342,62,87,0.713,35,88,123,123,34,13,84,97,352
5,Davonte Davis,30,17,715,109,229,0.476,107,216,0.495,2,13,0.154,34,45,0.756,36,98,134,64,35,5,48,70,254
6,Desi Sills,32,15,662,83,193,0.43,56,108,0.519,27,85,0.318,46,68,0.676,19,68,87,51,33,6,34,52,239
7,Connor Vanover,29,27,469,70,155,0.452,46,81,0.568,24,74,0.324,20,21,0.952,27,104,131,14,13,51,21,37,184
8,Vance Jackson,26,3,302,34,95,0.358,11,30,0.367,23,65,0.354,8,14,0.571,10,43,53,18,8,2,13,22,99
9,Jaylin Williams,26,5,414,33,69,0.478,26,46,0.565,7,23,0.304,23,31,0.742,29,92,121,21,12,18,24,50,96
10,Khalen Robinson,11,0,92,9,21,0.429,4,9,0.444,5,12,0.417,6,8,0.75,0,10,10,11,3,1,6,16,29
11,Ethan Henderson,18,0,110,10,14,0.714,10,14,0.714,0,0,0,1,4,0.25,12,11,23,2,0,12,3,13,21
12,Abayomi Iyiola,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
13,Brandon Kimble,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
14,Bryson Morehead,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Emeka Obukwelu,5,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
0,School Totals,32,0,6425,935,2071,0.451,702,1369,0.513,233,702,0.332,501,677,0.74,378,893,1271,466,251,158,412,540,2604
