Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tramon Mark,31,28,1009,168,350,0.48,132,251,0.526,36,99,0.364,131,163,0.804,15,117,132,57,36,24,54,89,503
2,Khalif Battle,32,13,793,119,293,0.406,71,157,0.452,48,136,0.353,186,213,0.873,8,97,105,42,26,8,48,73,472
3,Makhi Mitchell,33,5,622,106,167,0.635,106,166,0.639,0,1,0,73,93,0.785,43,109,152,37,14,46,43,81,285
4,Trevon Brazile,26,23,669,79,162,0.488,55,94,0.585,24,68,0.353,41,59,0.695,44,109,153,12,17,32,39,61,223
5,El Ellis,31,22,651,71,178,0.399,51,116,0.44,20,62,0.323,39,51,0.765,8,55,63,57,18,4,47,31,201
6,Davonte Davis,30,23,822,62,171,0.363,46,105,0.438,16,66,0.242,37,48,0.771,21,82,103,61,22,1,34,74,177
7,Jalen Graham,21,5,317,71,122,0.582,71,121,0.587,0,1,0,17,39,0.436,26,37,63,17,11,23,17,44,159
8,Jeremiah Davenport,31,8,490,50,144,0.347,21,43,0.488,29,101,0.287,25,32,0.781,17,40,57,27,8,10,18,49,154
9,Chandler Lawson,33,27,493,51,100,0.51,45,85,0.529,6,15,0.4,13,25,0.52,22,81,103,22,13,29,14,63,121
10,Keyon Menifield,14,4,271,36,96,0.375,23,55,0.418,13,41,0.317,26,35,0.743,4,25,29,22,5,4,21,17,111
11,Layden Blocker,27,5,360,31,77,0.403,29,60,0.483,2,17,0.118,36,58,0.621,21,21,42,27,21,7,20,46,100
12,Joseph Pinion,19,1,103,12,30,0.4,7,12,0.583,5,18,0.278,16,18,0.889,1,10,11,3,4,6,6,12,45
13,Baye Fall,9,0,45,1,2,0.5,1,2,0.5,0,0,0,5,15,0.333,5,7,12,0,3,6,6,10,7
14,Denijay Harris,11,1,49,2,4,0.5,2,4,0.5,0,0,0,3,8,0.375,4,5,9,3,0,1,3,4,7
15,Lawson Blake,4,0,2,0,0,0,0,0,0,0,0,0,1,2,0.5,0,1,1,0,0,0,0,0,1
16,Cade Arbogast,6,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,School Totals,33,0,6700,859,1898,0.453,660,1273,0.518,199,625,0.318,649,859,0.756,281,858,1139,387,198,201,395,655,2566
